Title,Price (£),Availability,Rating
My Paris Kitchen: Recipes and Stories,3.37,In stock,Two
Masks and Shadows,6.40,In stock,Two
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",4.02,In stock,Four
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",6.91,In stock,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",5.61,In stock,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),9.92,In stock,Two
"Layered: Baking, Building, and Styling Spectacular Cakes",0.11,In stock,One
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),3.90,In stock,Two
Join,5.67,In stock,Five
In the Country We Love: My Family Divided,2.00,In stock,Four
